ID_ATLAS,name_ATLAS,RA_ATLAS,Dec_ATLAS,RA_deg_ATLAS,Dec_deg_ATLAS,RA_err_ATLAS,Dec_err_ATLAS,rms,BWS,Obs_freq,Sp,Sp_err,S,S_err,Scom,Scom_err,Sp2,Sp2_err,S2,S2_err,S2com,S2com_err,Deconv,Deconv_err,class,Sindex,Sindex_err,field,xid_tag,xid_comment,xid_flag,ncomps,core,rhost,ihost,cntr_SWIRE,object_SWIRE,ra_SWIRE,dec_SWIRE,unc_ra_SWIRE,unc_dec_SWIRE,tile,flux_ap2_36,uncf_ap2_36,flux_kr_36,uncf_kr_36,stell_36,flgs_36,ext_fl_36,flux_ap2_45,uncf_ap2_45,flux_kr_45,uncf_kr_45,stell_45,flgs_45,ext_fl_45,flux_ap2_58,uncf_ap2_58,flux_kr_58,uncf_kr_58,stell_58,flgs_58,ext_fl_58,flux_ap2_80,uncf_ap2_80,flux_kr_80,uncf_kr_80,stell_80,flgs_80,ext_fl_80,flux_ap2_24,uncf_ap2_24,flux_kr_24,uncf_kr_24,stell_24,flgs_24,ext_fl_24,ap_m_b,msig_b,ap_m_v,msig_v,ap_m_r,msig_r,kr_m_b,kr_m_v,kr_m_r,stell_b,stell_v,stell_r,ap_m_u,msig_u,ap_m_g,msig_g,ap_m_i,msig_i,ap_m_z,msig_z,ID_phot,RA_phot,DEC_phot,MAG_APER_4_G,MAG_APER_4_R,MAG_APER_4_I,MAG_APER_4_Z,MAGERR_APER_4_G,MAGERR_APER_4_R,MAGERR_APER_4_I,MAGERR_APER_4_Z,COADD_OBJECT_ID,coadd_final,ID_GRC,RA_GRC,DEC_GRC,z,z_Err,flag,source,comments,totobs,totexp,jflag
CI0025  ,ATLAS3_J032612.0-281402C,03:26:12.03,-28:14:02.7,51.550137,-28.234088,0.42,0.84,0.035,1.06,1.454,0.556,0.047,0.556,0.047,0.556,0.047,0.571,0.048,0.571,0.048,0.571,0.048,-999.0,-999.0,P,-1.187,0.851,CDFS    ,CI0025*SWIRE3_J032612.05-281402.0*m1*C0  ,deblend                                              ,1,1,1,CI0025  ,SWIRE3_J032612.05-281402.0,443313,SWIRE3_J032612.05-281402.0,51.55022,-28.23391,0.00242,0.00242,43,3479.08,7.31,3418.58,6.32,0.97,CA0,-1,3804.87,5.86,3828.83,5.03,0.98,CA0,-1,4576.74,20.87,4289.0,16.59,0.79,CA0,1,7072.82,10.85,6604.76,9.43,0.94,CA0,-1,-99.0,-99.0,-99.0,-99.0,-9.0,---,-99,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,SVA1_COADD-2940849113,51.550222,-28.233847,18.676039,18.389772,18.025978,17.868402,0.0005,0.0004,0.0002,0.0002,2940849113,2940849113,SVA1_COADD-2940849113         ,51.5502083333333,-28.2338333333333,0.16032,-9.999,4.0,DES_AAOmega         ,BrightGalaxy                  ,2,3000,4
CI0047  ,ATLAS3_J032620.8-280154C,03:26:20.87,-28:01:54.6,51.586972,-28.031826,0.88,2.04,0.024,1.05,1.474,0.149,0.027,0.149,0.027,0.149,0.027,0.155,0.028,0.155,0.028,0.155,0.028,-999.0,-999.0,P,-999.0,-999.0,CDFS    ,CI0047*SWIRE3_J032620.83-280154.5*m1*C0  ,-----------------------------------------------------,1,1,1,CI0047  ,SWIRE3_J032620.83-280154.5,450835,SWIRE3_J032620.83-280154.5,51.58683,-28.03182,0.0112,0.0109,43,74.2,1.14,69.07,1.12,0.98,CA0,0,55.01,1.09,54.41,1.37,0.86,CA0,0,78.6,4.89,73.41,6.05,0.64,CA0,0,102.94,4.3,97.5,5.49,0.55,CA0,0,-99.0,-99.0,-99.0,-99.0,-9.0,---,-99,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,SVA1_COADD-2939417729,51.586821,-28.031784,23.418348,22.166758,21.529362,21.133707,0.0172,0.0048,0.0037,0.0026,2939417729,2939417729,SVA1_COADD-2939417729         ,51.5868333333333,-28.0317777777778,0.56974,-9.999,4.0,DES_AAOmega         ,CLi 8 0.56974 3 {} | NES 10 0.,8,18600,4
CI0049  ,ATLAS3_J032621.5-281236C,03:26:21.59,-28:12:36.5,51.589959,-28.210128,0.48,1.01,0.028,1.05,1.467,0.362,0.035,0.362,0.035,0.362,0.035,0.374,0.036,0.374,0.036,0.374,0.036,-999.0,-999.0,P,-1.915,1.079,CDFS    ,CI0049*SWIRE3_J032621.63-281237.9*m1*C0  ,-----------------------------------------------------,1,1,1,CI0049  ,SWIRE3_J032621.63-281237.9,444196,SWIRE3_J032621.63-281237.9,51.59013,-28.21054,0.00889,0.00922,43,159.5,1.34,168.23,1.3,0.84,CA0,-1,116.78,1.61,122.28,1.74,0.75,CA0,0,133.24,4.75,125.52,6.21,0.05,CA0,0,99.74,4.78,89.24,6.01,0.65,CA0,0,1129.71,25.97,857.45,28.79,0.8,CA0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,SVA1_COADD-2940850745,51.5902,-28.210555,24.016771,22.713562,21.752123,21.224514,0.0282,0.0099,0.0044,0.0029,2940850745,2940850745,SVA1_COADD-2940850745         ,51.5902083333333,-28.2105555555556,0.80941,-9.999,3.0,DES_AAOmega         ,CLi 10 0.80941 4 {} | JFG 10 0,2,4800,2
CI0056  ,ATLAS3_J032624.5-280206C,03:26:24.56,-28:02:06.6,51.602329,-28.035178,0.74,1.68,0.024,1.05,1.477,0.176,0.026,0.176,0.026,0.176,0.026,0.182,0.027,0.182,0.027,0.182,0.027,-999.0,-999.0,P,-999.0,-999.0,CDFS    ,CI0056*SWIRE3_J032624.52-280205.6*m1*C0  ,-----------------------------------------------------,1,1,1,CI0056  ,SWIRE3_J032624.52-280205.6,450727,SWIRE3_J032624.52-280205.6,51.60217,-28.03489,0.0114,0.0143,43,59.14,1.09,58.86,1.12,0.57,CA0,0,44.63,1.15,39.9,1.29,0.79,CA0,0,45.91,4.81,34.46,4.85,0.12,CA0,0,63.15,4.75,30.26,2.35,0.48,CA0,0,616.17,25.28,433.04,24.16,0.65,CA0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,SVA1_COADD-2939417621,51.602206,-28.034903,23.853197,22.730825,22.119804,21.837543,0.0254,0.0079,0.0064,0.0049,2939417621,2939417621,SVA1_COADD-2939417621         ,51.6022083333333,-28.0349166666667,0.63121,-9.999,4.0,DES_AAOmega         ,CLi 7 0.63121 4 {} | rgs 8 0.6,4,9600,4
CI0057  ,ATLAS3_J032624.6-275749C,03:26:24.67,-27:57:49.5,51.602782,-27.963749,0.42,0.85,0.025,1.05,1.467,0.398,0.034,0.398,0.034,0.398,0.034,0.411,0.035,0.411,0.035,0.411,0.035,-999.0,-999.0,P,-1.357,0.906,CDFS    ,CI0057*SWIRE3_J032624.66-275749.5*m1*C0  ,-----------------------------------------------------,1,1,1,CI0057  ,SWIRE3_J032624.66-275749.5,453293,SWIRE3_J032624.66-275749.5,51.60276,-27.96375,0.00961,0.0086,43,114.58,1.41,129.03,1.48,0.23,CA3,0,111.9,1.61,126.48,1.82,0.84,CA2,0,145.25,5.4,150.54,6.26,0.45,CA0,0,422.06,5.73,419.59,7.32,0.82,CA0,0,-99.0,-99.0,-99.0,-99.0,-9.0,---,-99,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,SVA1_COADD-2939423464,51.602737,-27.963729,22.196108,21.018438,20.361204,20.091576,0.006,0.0018,0.0013,0.001,2939423464,2939423464,SVA1_COADD-2939423464         ,51.60275,-27.9637222222222,0.26355,-9.999,4.0,DES_AAOmega         ,///                           ,3,7200,4
CI0060  ,ATLAS3_J032626.1-281329C,03:26:26.14,-28:13:29.1,51.608926,-28.224747,0.37,0.7,0.027,1.05,1.468,0.535,0.039,0.69,0.044,0.69,0.044,0.553,0.041,0.713,0.045,0.713,0.045,5.7,1.2,E,-0.917,0.543,CDFS    ,CI0060*SWIRE3_J032626.16-281330.7*m1*C0  ,-----------------------------------------------------,1,1,1,CI0060  ,SWIRE3_J032626.16-281330.7,443652,SWIRE3_J032626.16-281330.7,51.60904,-28.22522,0.00605,0.00641,43,221.34,1.9,210.41,1.68,0.95,CA0,-1,216.22,2.18,207.06,2.0,0.87,CA0,0,186.73,5.74,168.0,6.12,0.7,CA0,0,850.87,6.88,833.98,8.9,0.91,CA0,-1,3022.61,20.59,2773.05,29.77,0.93,CA2,-1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,SVA1_COADD-2940849669,51.609084,-28.225159,21.279694,20.172815,19.589405,19.232502,0.0027,0.0013,0.0007,0.0005,2940849669,2940849669,SVA1_COADD-2940849669         ,51.6090833333333,-28.2251666666667,0.23049,-9.999,4.0,DES_AAOmega         ,//                            ,3,7200,4
CI0061  ,ATLAS3_J032626.7-275832C,03:26:26.73,-27:58:32.8,51.611388,-27.975772,0.88,2.04,0.025,1.05,1.471,0.149,0.027,0.149,0.027,0.149,0.027,0.155,0.028,0.155,0.028,0.155,0.028,-999.0,-999.0,P,-999.0,-999.0,CDFS    ,CI0061*SWIRE3_J032626.70-275835.4*m1*C0  ,-----------------------------------------------------,1,1,1,CI0061  ,SWIRE3_J032626.70-275835.4,452852,SWIRE3_J032626.70-275835.4,51.61127,-27.9765,0.00799,0.00961,43,108.23,1.34,103.94,1.28,0.97,CA0,0,118.54,1.63,114.17,1.62,0.43,CA0,0,89.56,5.06,65.74,4.31,0.52,CA0,0,410.58,5.69,424.97,8.22,0.95,CA0,0,1097.75,25.07,837.3,29.2,0.75,CA0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,SVA1_COADD-2939422023,51.611265,-27.97651,21.320618,20.4706,19.95449,19.674992,0.003,0.0012,0.001,0.0007,2939422023,2939422023,SWIRE3_J032626.70-275835.4    ,51.611250000000005,-27.976499999999998,0.3001,-9.999,-2.0,ATLAS               ,-                             ,-9,-9,2
CI0063  ,ATLAS3_J032627.4-280810C,03:26:27.41,-28:08:10.9,51.614218,-28.136374,0.93,2.17,0.024,1.05,1.479,0.139,0.027,0.139,0.027,0.139,0.027,0.144,0.028,0.144,0.028,0.144,0.028,-999.0,-999.0,P,-999.0,-999.0,CDFS    ,CI0063*SWIRE3_J032627.44-280811.2*m1*C0  ,-----------------------------------------------------,1,1,1,CI0063  ,SWIRE3_J032627.44-280811.2,447022,SWIRE3_J032627.44-280811.2,51.61435,-28.13647,0.00961,0.0112,43,126.92,1.04,139.47,1.07,0.06,CA0,2,91.13,1.48,93.2,1.65,0.36,CA0,0,112.2,3.83,95.28,3.86,0.01,CA0,0,105.37,4.94,103.62,6.7,0.25,CA0,0,811.83,25.07,616.37,26.42,0.79,CA0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,SVA1_COADD-2939410730,51.61438,-28.136425,22.281906,21.31058,20.71301,20.357204,0.0058,0.0028,0.0017,0.0013,2939410730,2939410730,SVA1_COADD-2939410730         ,51.614375,-28.1364166666667,0.64022,-9.999,4.0,DES_AAOmega         ,//                            ,3,7200,4
CI0068  ,ATLAS3_J032629.1-280650C,03:26:29.10,-28:06:50.2,51.62125,-28.113948,0.49,1.04,0.024,1.05,1.481,0.297,0.029,0.297,0.029,0.297,0.029,0.309,0.031,0.309,0.031,0.309,0.031,-999.0,-999.0,P,-1.599,1.097,CDFS    ,CI0068*SWIRE3_J032629.13-280650.7*m1*C0  ,-----------------------------------------------------,1,1,1,CI0068  ,SWIRE3_J032629.13-280650.7,447930,SWIRE3_J032629.13-280650.7,51.62138,-28.11411,0.00526,0.00583,43,500.45,2.9,1285.38,3.88,0.03,EK2,2,339.6,1.93,842.68,3.02,0.03,EK0,2,467.89,8.02,1012.44,14.16,0.01,CA0,2,2282.89,7.17,4951.49,11.26,0.03,EK0,2,4735.37,27.14,4548.22,35.73,0.04,CA0,2,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,SVA1_COADD-2939413244,51.621383,-28.114025,19.477068,18.817019,18.539383,18.24267,0.0008,0.0005,0.0003,0.0002,2939413244,2939413244,S015                          ,51.621375,-28.11411111111111,0.0579,-9.999,-2.0,ATLAS               ,-                             ,-9,-9,2
CI0081  ,ATLAS3_J032632.0-281939C,03:26:32.01,-28:19:39.0,51.633383,-28.327509,0.67,1.52,0.03,1.06,1.45,0.25,0.034,0.25,0.034,0.25,0.034,0.256,0.035,0.256,0.035,0.256,0.035,-999.0,-999.0,P,-999.0,-999.0,CDFS    ,CI0081*SWIRE3_J032631.96-281941.0*m1*C0  ,-----------------------------------------------------,1,1,1,CI0081  ,SWIRE3_J032631.96-281941.0,439514,SWIRE3_J032631.96-281941.0,51.63319,-28.32806,0.00907,0.00947,42,87.51,1.28,84.75,1.18,0.68,CA3,0,102.92,1.58,122.3,1.75,0.58,CA3,0,79.82,4.9,92.9,6.49,0.63,CA0,0,401.4,5.75,440.97,9.76,0.88,CA2,0,2330.3,21.85,2470.0,31.49,0.25,CA0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,SVA1_COADD-2940842988,51.633207,-28.328039,21.028324,20.436012,20.18298,19.728886,0.0023,0.0012,0.0012,0.0008,2940842988,2940842988,SWIRE3_J032631.96-281941.0    ,51.63316666666667,-28.328055555555554,0.3358,-9.999,-2.0,ATLAS               ,-                             ,-9,-9,2
