ID_ATLAS,name_ATLAS,RA_ATLAS,Dec_ATLAS,RA_deg_ATLAS,Dec_deg_ATLAS,RA_err_ATLAS,Dec_err_ATLAS,rms,BWS,Obs_freq,Sp,Sp_err,S,S_err,Scom,Scom_err,Sp2,Sp2_err,S2,S2_err,S2com,S2com_err,Deconv,Deconv_err,class,Sindex,Sindex_err,field,xid_tag,xid_comment,xid_flag,ncomps,core,rhost,ihost,cntr_SWIRE,object_SWIRE,ra_SWIRE,dec_SWIRE,unc_ra_SWIRE,unc_dec_SWIRE,tile,flux_ap2_36,uncf_ap2_36,flux_kr_36,uncf_kr_36,stell_36,flgs_36,ext_fl_36,flux_ap2_45,uncf_ap2_45,flux_kr_45,uncf_kr_45,stell_45,flgs_45,ext_fl_45,flux_ap2_58,uncf_ap2_58,flux_kr_58,uncf_kr_58,stell_58,flgs_58,ext_fl_58,flux_ap2_80,uncf_ap2_80,flux_kr_80,uncf_kr_80,stell_80,flgs_80,ext_fl_80,flux_ap2_24,uncf_ap2_24,flux_kr_24,uncf_kr_24,stell_24,flgs_24,ext_fl_24,ap_m_b,msig_b,ap_m_v,msig_v,ap_m_r,msig_r,kr_m_b,kr_m_v,kr_m_r,stell_b,stell_v,stell_r,ap_m_u,msig_u,ap_m_g,msig_g,ap_m_i,msig_i,ap_m_z,msig_z,ID_phot,RA_phot,DEC_phot,MAG_APER_4_G,MAG_APER_4_R,MAG_APER_4_I,MAG_APER_4_Z,MAGERR_APER_4_G,MAGERR_APER_4_R,MAGERR_APER_4_I,MAGERR_APER_4_Z,COADD_OBJECT_ID,coadd_final,ID_GRC,RA_GRC,DEC_GRC,z,z_Err,flag,source,comments,totobs,totexp,jflag
EI0011C1,ATLAS3_J002945.3-432148C,00:29:45.34,-43:21:48.0,7.438908,-43.363342,0.16,0.26,0.042,1.08,1.444,6.506,0.33,7.983,0.406,16.615,0.5972269250460833,6.703,0.341,8.224,0.42,17.122999999999998,0.6184787789407168,4.6,0.9,E,-0.962,0.152,ELAIS-S1,EI0011C1*SWIRE3_J002945.64-432149.3*m2*C0,-----------------------------------------------------,1,2,1,EI0011C1,SWIRE3_J002945.64-432149.3,372913,SWIRE3_J002945.64-432149.3,7.44019,-43.36372,0.0109,0.011,33,93.86,1.12,114.7,1.32,0.42,CA0,1,110.63,2.0,108.58,1.97,0.91,CA0,0,142.91,4.57,154.01,6.27,0.63,CA0,0,178.76,5.98,176.2,8.01,0.72,CA0,0,-99.0,-99.0,-99.0,-99.0,-9.0,---,-99,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,SVA1_COADD-2970961611,7.440085,-43.363748,21.00319,20.737759,20.819336,20.75119,0.0091,0.004,0.0088,0.0103,2970961611,2970961611,SVA1_COADD-2970961611         ,7.44008333333333,-43.36375,1.07016,-9.999,4.0,DES_AAOmega         ,                              ,14,33600,4
EI0015  ,ATLAS3_J002951.1-432354C,00:29:51.10,-43:23:54.7,7.462936,-43.39854,0.71,1.09,0.036,1.07,1.452,0.306,0.041,0.306,0.041,0.306,0.041,0.314,0.043,0.314,0.043,0.314,0.043,-999.0,-999.0,P,-999.0,-999.0,ELAIS-S1,EI0015*SWIRE3_J002951.14-432355.3*m1*C0  ,-----------------------------------------------------,1,1,1,EI0015  ,SWIRE3_J002951.14-432355.3,373023,SWIRE3_J002951.14-432355.3,7.46309,-43.39872,0.00936,0.0101,33,90.05,0.96,90.94,0.99,0.96,CA0,0,123.62,1.82,120.8,1.88,0.88,CA0,0,211.17,4.74,194.11,5.41,0.42,CA0,0,342.84,6.5,328.18,7.3,0.47,CA0,0,943.66,32.16,634.1,31.17,0.65,CA0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,SVA1_COADD-2970957706,7.462954,-43.398719,20.665354,20.860088,20.36397,20.544348,0.0031,0.0033,0.0029,0.0046,2970957706,2970957706,S924                          ,7.463083333333333,-43.39875,1.9492,-9.999,-2.0,ATLAS               ,-                             ,-9,-9,2
EI0020  ,ATLAS3_J003001.5-433104C,00:30:01.53,-43:31:04.3,7.50636,-43.517862,1.12,1.72,0.034,1.07,1.459,0.179,0.037,0.179,0.037,0.179,0.037,0.185,0.038,0.185,0.038,0.185,0.038,-999.0,-999.0,P,-999.0,-999.0,ELAIS-S1,EI0020*SWIRE3_J003001.25-433102.3*m1*C0  ,-----------------------------------------------------,1,1,1,EI0020  ,SWIRE3_J003001.25-433102.3,374516,SWIRE3_J003001.25-433102.3,7.50521,-43.51733,0.0081,0.00796,33,168.07,1.64,172.61,1.6,0.86,CA3,-1,150.25,1.99,145.92,2.07,0.89,CA0,0,108.81,6.4,140.05,8.76,0.15,CA0,0,753.01,7.63,797.54,11.77,0.76,CA0,1,1291.93,31.49,1822.82,53.85,0.5,CA0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,SVA1_COADD-2970945867,7.505064,-43.517337,20.305037,19.625168,19.2381,19.120771,0.0024,0.0012,0.0012,0.0013,2970945867,2970945867,SVA1_COADD-2970945867         ,7.50508333333333,-43.5173333333333,0.2074,-9.999,4.0,DES_AAOmega         ,CLi 8 0.20740 4 {} | AKi 8 0.2,4,7200,4
EI0023  ,ATLAS3_J003004.9-432724C,00:30:04.91,-43:27:24.5,7.520467,-43.456813,1.07,1.66,0.03,1.06,1.461,0.165,0.033,0.165,0.033,0.165,0.033,0.17,0.034,0.17,0.034,0.17,0.034,-999.0,-999.0,P,-999.0,-999.0,ELAIS-S1,EI0023*SWIRE3_J003004.87-432726.7*m1*C0  ,-----------------------------------------------------,1,1,1,EI0023  ,SWIRE3_J003004.87-432726.7,372671,SWIRE3_J003004.87-432726.7,7.5203,-43.45742,0.01,0.00828,33,116.47,1.56,129.81,1.6,0.05,CA0,0,107.9,1.77,119.0,2.11,0.1,CA0,0,86.9,5.84,78.63,7.31,0.0,CA0,0,755.38,7.63,784.55,10.61,0.77,CA0,1,812.0,31.35,716.51,37.25,0.3,CA0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,SVA1_COADD-2970951793,7.520143,-43.457465,21.835201,21.03757,20.577333,20.371479,0.0079,0.0034,0.0035,0.0039,2970951793,2970951793,SVA1_COADD-2970951793         ,7.520125,-43.4574722222222,0.20855,-9.999,4.0,DES_AAOmega         ,CLi 8 0.20855 4 {} | AKi 8 0.2,4,7200,4
EI0024  ,ATLAS3_J003006.4-431446C,00:30:06.40,-43:14:46.4,7.526668,-43.246232,1.01,1.55,0.038,1.07,1.439,0.227,0.043,0.227,0.043,0.227,0.043,0.231,0.043,0.231,0.043,0.231,0.043,-999.0,-999.0,P,-999.0,-999.0,ELAIS-S1,EI0024*SWIRE3_J003006.37-431448.0*m1*C0  ,-----------------------------------------------------,1,1,1,EI0024  ,SWIRE3_J003006.37-431448.0,367795,SWIRE3_J003006.37-431448.0,7.52658,-43.24668,0.00853,0.00871,33,131.16,1.21,121.63,1.12,0.98,CA2,0,138.8,1.49,126.34,1.46,0.97,CA0,0,148.2,4.91,134.51,6.01,0.84,CA0,0,237.26,4.67,220.6,6.35,0.88,CA0,0,1122.22,25.57,831.5,28.36,0.79,CA0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,SVA1_COADD-2970972990,7.526474,-43.246641,22.793043,22.05659,21.774265,21.461296,0.0157,0.0079,0.0097,0.0102,2970972990,2970972990,SVA1_COADD-2970972990         ,7.52645833333333,-43.2466388888889,1.02539,-9.999,4.0,DES_AAOmega         ,acr 11 0.15039 2 {} | CLi 8 1.,39,91200,4
EI0026  ,ATLAS3_J003007.7-432722C,00:30:07.75,-43:27:22.9,7.532292,-43.456372,0.83,1.28,0.029,1.06,1.463,0.209,0.033,0.209,0.033,0.209,0.033,0.215,0.034,0.215,0.034,0.215,0.034,-999.0,-999.0,P,-999.0,-999.0,ELAIS-S1,EI0026*SWIRE3_J003007.95-432727.2*m1*C0  ,-----------------------------------------------------,1,1,1,EI0026  ,SWIRE3_J003007.95-432727.2,372309,SWIRE3_J003007.95-432727.2,7.53314,-43.45757,0.00752,0.00698,33,269.84,1.92,310.65,1.94,0.23,CA0,1,243.04,1.99,269.88,2.09,0.18,CA0,1,203.67,5.43,246.68,8.46,0.04,CA0,0,847.23,6.36,951.68,9.39,0.11,CA0,1,2843.39,31.72,2470.01,41.84,0.95,CA0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,SVA1_COADD-2970951840,7.533009,-43.457596,20.086174,19.274065,18.880934,18.709873,0.0022,0.001,0.001,0.0009,2970951840,2970951840,S864                          ,7.533125,-43.45758888888889,0.2074,-9.999,-2.0,ATLAS               ,-                             ,-9,-9,2
EI0029  ,ATLAS3_J003008.7-433320C,00:30:08.77,-43:33:20.7,7.53655,-43.555758,0.61,0.94,0.033,1.07,1.457,0.33,0.039,0.33,0.039,0.33,0.039,0.34,0.04,0.34,0.04,0.34,0.04,-999.0,-999.0,P,-999.0,-999.0,ELAIS-S1,EI0029*SWIRE3_J003008.77-433321.6*m1*C0  ,-----------------------------------------------------,1,1,1,EI0029  ,SWIRE3_J003008.77-433321.6,374476,SWIRE3_J003008.77-433321.6,7.53655,-43.55601,0.00857,0.00785,33,252.77,2.0,283.97,1.99,0.28,CA0,1,214.12,2.31,231.25,2.38,0.78,CA0,1,163.61,5.14,160.38,6.96,0.03,CA0,0,270.18,6.31,271.99,9.43,0.11,CA0,0,906.83,31.84,960.78,41.48,0.42,CA0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,SVA1_COADD-2970941884,7.53641,-43.556015,22.301495,20.520391,19.933403,19.536348,0.0107,0.0022,0.0021,0.0018,2970941884,2970941884,S770                          ,7.536499999999999,-43.55598888888888,0.4568,-9.999,-2.0,ATLAS               ,-                             ,-9,-9,2
EI0033  ,ATLAS3_J003012.7-433246C,00:30:12.75,-43:32:46.0,7.553109,-43.546097,0.47,0.73,0.032,1.06,1.46,0.416,0.04,0.416,0.04,0.416,0.04,0.429,0.041,0.429,0.041,0.429,0.041,-999.0,-999.0,P,-999.0,-999.0,ELAIS-S1,EI0033*SWIRE3_J003012.78-433246.4*m1*C0  ,-----------------------------------------------------,1,1,1,EI0033  ,SWIRE3_J003012.78-433246.4,373727,SWIRE3_J003012.78-433246.4,7.55326,-43.54623,0.0122,0.0108,33,78.68,1.15,73.79,1.1,0.96,CA0,0,62.99,1.44,55.57,1.49,0.96,CA0,0,50.68,5.24,39.08,5.19,0.04,CA0,0,46.76,5.55,26.73,2.5,0.47,CA0,0,-999.0,-999.0,-999.0,-999.0,-999.0,---,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,SVA1_COADD-2970942328,7.553099,-43.546226,25.943918,24.026682,22.80181,22.113066,0.2777,0.0451,0.0248,0.0179,2970942328,2970942328,SVA1_COADD-2970942328         ,7.55308333333333,-43.5462222222222,0.94179,-9.999,3.0,DES_AAOmega         ,AMo 9 0.94179 3 {} | CLi 9 0.9,26,62400,2
EI0035  ,ATLAS3_J003014.7-431556C,00:30:14.79,-43:15:56.3,7.561612,-43.26563,1.0,1.55,0.034,1.07,1.447,0.198,0.037,0.198,0.037,0.198,0.037,0.203,0.038,0.203,0.038,0.203,0.038,-999.0,-999.0,P,-999.0,-999.0,ELAIS-S1,EI0035*SWIRE3_J003014.75-431557.3*m1*C0  ,-----------------------------------------------------,1,1,1,EI0035  ,SWIRE3_J003014.75-431557.3,367238,SWIRE3_J003014.75-431557.3,7.56147,-43.26593,0.00922,0.00778,33,139.88,1.38,158.25,1.4,0.13,CA3,0,139.99,1.37,143.42,1.46,0.34,CA3,0,119.62,4.94,162.89,7.75,0.03,CA0,0,809.69,5.42,871.06,7.65,0.81,CA0,-1,1970.65,32.26,1734.27,41.19,0.7,CA0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,SVA1_COADD-2970971352,7.561323,-43.265912,20.656279,19.905357,19.49703,19.398346,0.0029,0.0014,0.0015,0.0016,2970971352,2970971352,SVA1_COADD-2970971352         ,7.56133333333333,-43.2659166666667,0.21842,-9.999,4.0,DES_AAOmega         ,//                            ,2,4800,4
EI0039  ,ATLAS3_J003017.6-434634C,00:30:17.69,-43:46:34.1,7.573716,-43.776128,1.01,1.55,0.033,1.08,1.435,0.199,0.037,0.199,0.037,0.199,0.037,0.203,0.038,0.203,0.038,0.203,0.038,-999.0,-999.0,P,-999.0,-999.0,ELAIS-S1,EI0039*SWIRE3_J003017.66-434633.3*m1*C0  ,-----------------------------------------------------,1,1,1,EI0039  ,SWIRE3_J003017.66-434633.3,378816,SWIRE3_J003017.66-434633.3,7.57359,-43.77592,0.00788,0.00965,33,214.63,1.6,307.86,1.77,0.03,CA3,2,179.59,1.58,254.8,1.94,0.03,CA3,2,156.74,4.82,225.81,8.25,0.0,CA2,0,759.8,5.14,983.82,7.89,0.02,CA0,2,1469.84,31.71,1142.6,35.65,0.84,CA0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,SVA1_COADD-2970917557,7.57354,-43.7759,20.647076,19.775963,19.361334,19.148737,0.003,0.0013,0.0013,0.0013,2970917557,2970917557,SVA1_COADD-2970917557         ,7.57354166666667,-43.7758888888889,0.20071,-9.999,4.0,DES_AAOmega         ,CLi 9 0.20071 4 {} | AKi 9 0.2,4,7200,4
